nombre ,indipais,numero
CASA MUSICAL VIOLIN STRADIVARIUS,571,2556986
DISEÑOS FERNANDO JIMENEZ,571,2557315
STILOS BLUE,571,2557343
CALZADO TIHANY,571,2557778
FLORISTERIA CRISALY,571,2557981
Universidad Distrital-Instituto de Desarrollo del Distrito Capital y la Participación Ciudadana (IDCAP),571,2558252
Corporación Universitaria de Colombia IDEAS,571,2558321
ACREDITADAS CREACIONES BERTHA FAJAS ADELGAZANTES Y LINEA DE MATERNIDAD,571,2558860
PAREPA M.C.G,571,2558907
D'ANDRES Y MAGO SALA DE BELLEZA PELUQUERIA,571,2559105
CASA COMERCIAL ALASKA,571,2559229
CALZADO GALESA,571,2559416
CASA COMERCIAL SAN REMO,571,2559509
DISORLANAS,571,2559615
PICCOLO 2,571,2559789
CORPOCOUNTRY,571,2561189
Centro 93,571,2570262
Los Héroes,571,2570459
BOTICA MENTAL MARLY,571,2572778
BOTICA MENTAL MARLY,571,2572778
FUNDACION PARQUE 80,571,2578098
MINIMERCADO BRUSELAS,571,2579232
NATURALEZA URBANA,571,2593545
COMERCIALIZADORA M & M.,571,2614776
ECO CALENDULA,571,2652264
ECO CALENDULA,571,2652264
ALMACEN CHAYITO,571,2663373
XAZANIME KOURYUU NO TOSHOKAN,571,2734013
MARIAN SPORT,571,2791479
DROGUERIA LA MEJOR EN DROGAS G L B C,571,2792930
CALZADO JEISY,571,2792964
RESTAURANTE M R,571,2796239
KALU VIRTUAL,571,2812831
TIENDA NUESTRA SEÑORA DE CHIQUINQUIRA,571,2821700
Universidad de la Salle (Sede Norte),571,2830900
SUPERMERCADO EL TRIUNFO LOCAL 1,571,2850048
MANGLE JJO,571,2850214
SENA,571,2850628
MERCANDO 46,571,2850762
KING MARKET,571,2851893
CIGARRERIA QUINTA AVENIDA,571,2852151
SUPERPHARMA MARLY,571,2852660
FUSION CREATIVA DISEÑO E IMPRESION,571,2854004
FARMACIA HOMEOPATICA HEEL,571,2854124
AUTO SERVICIO UGANDA RUBIO Y AYALA,571,2854781
CORPORACION UNION DE MUJERES CODEMUR,571,2855529
GEOVIDA COLOMBIA,571,2855687
VIP ALTA PELUQUERIA,571,2855888
ALMACEN RINGO STAR 2,571,2856015
LA ECONOMIA DROGUERIA # 717 Y/O DROGAS LA ECONOMIA # 717,571,2856466
MUJERES AL BORDE,571,2857519
ESTACION DE SERVICIO MOBIL CALLE 49,571,2857584
ENERVIT FASHION,571,2857703
EVERLUZ,571,2857783
DIGI FOTOS,571,2859354
SUPER ELECTRICOS CHAPINERO,571,2859370
COMERCIAL MESALAMP,571,2859787
THE WHITE HOUSE PROJECT,571,2859838
FRIGOCARNES PPC HNOS,571,2860746
MAFE CENTRO DE COPIADO PAPELERIA Y MISCELANEA,571,2873248
CENTRO MEDICO DIVINO SALVADOR-CONSULTORIO MEDICO DROGUERIA,571,2874513
HOME MEDICAL CHAPINERO,571,2874964
MUNDO MEDIK,571,2875821
TODO CERRADURAS MENDEZ Y RAMIREZ NIT 860.524.131.6,571,2876543
AMERICAN DENTAL EQUIPMENT,571,2876765
ROPA Y ACCESORIOS SHALOM,571,2876922
ASADERO SURTISABOR DE LA 47,571,2876955
ASOCIACION PARAISO CERROS ORIENTALES LL,571,2880150
COMERCIAL PAPELERIA-CALLE 46,571,2880256
GUARDERIA JARDIN EL SAPITO SALTARIN,571,2880323
MONA JACK,571,2880504
MERKA VILLA ESPRESS,571,2882146
PLOTTER & PAPER,571,2885255
Escuela Militar de Medicina,571,2888652
SALON ONCES MARLY,571,2888773
PAPELERIA GUERRERO HERMANOS,571,2889342
LA CASA DE MORFEO,571,2889862
SEVEN.SEVEN 189 CHAPINERO,571,2905467
DIANE Y GEORDI CHAPINERO,571,2916777
DIANE & GEORDI CALLE 63,571,2916777
STORES TAB,571,2931975
VINTAGE BAR,571,2937040
CHIC CAPELLI,571,3003530
VANITI 2 BY CP,571,3003530
DROGUERIA ALEMANA 67 C MARKET,571,3004715
ARTE DE VIVIR BGTA,571,3011990
MIGA CATERING,571,3056590
AVANCE MEDICO S.A,571,3099812
THE HOMAROC,571,3100309
CAFE MARLY,571,3100487
SUMAFRUT NO. 2,571,3100522
OPTICA COLOMBIANA S A MARLY,571,3100532
BIOPIEL LTDA 1,571,3100558
COMPRA VENTA DE ROPA USADA TUTIS,571,3100699
ASIA MICROCOMPUTADORES LTDA,571,3100766
JULIO CESAR PLATA PELUQUERIA,571,3100831
LA ESTACION DEL PAN DE BONO DE CEBALLOS,571,3101923
BOGOTA BURGER CLUB 2011,571,3103564
SANTANA CHAPINERO,571,3104154
FERIA DEL LENTE,571,3104256
FERIA DEL LENTE BOGOTA,571,3104256
LA ESQUINA CAFE RESTAURANTE LA 59,571,3104671
EMPANADAS... SALSAS Y SABOR,571,3104895
GOLPE DE OPINION,571,3107994
QUINTA GALERIA,571,3127369
DILETTO CAFE CALLE 70,571,3174569
RICAURTE CASTAÑEDA KAREN JULIETH,571,3202352
CIGARRERIA EL DESCANSO,571,3204195
A R PAPELERIA,571,3383975
RICURAS EXPRESS DE LA 45,571,3384754
CIGARRERIA VALDIRI A C S,571,3403764
CIGARRERIA VALDIRI A C S,571,3403764
CIGARRERIA VALDIRI A C S,571,3403764
MISCELANEA MARICARE,571,3405993
CIEQUIPS COLOMBIA,571,3406540
CIEQUIPS COLOMBIA,571,3406540
Corporación Técnica de Colombia Corpotec,571,3406948
ESCAPE W,571,3408092
ESCENARIO TIENDA MUSICAL,571,3452385
A Y M PUNTO V,571,3453461
BOGOTANA DEL USADO,571,3454005
LILIAN FASHION,571,3454263
GET RESULTS,571,3456752
PARRILLACK,571,3460110
TANAUSU,571,3460245
ALEIDA PELUQUERIA ESTILO,571,3461879
SURTIN COMPRA VENTA,571,3461889
Universidad Los Libertadores,571,3462424
ESTILO X,571,3464894
ANONIMAS MUJERES QUE AMAN DEMASIADO AMAD,571,3465862
CASADIEGO ASESORES,571,3470178
Acuarium,571,3470513
COMUNICAR,571,3471475
CIGARRERIA FINLANDIA 55,571,3472101
IPC IMPORTADORES,571,3472493
LILA MORANTES,571,3472605
COMPRAVENTA LALO,571,3473274
ESCUELA NACIONAL DE SISTEMAS SEDE A,571,3473640
GIA CAFE BAR,571,3474874
ORTIZO LTDA.,571,3475266
CASA COMERCIAL EL LAGO,571,3477455
PRODUCCIONES HENRY DACKAR,571,3477465
AQUILES CALLE 60A,571,3480620
LA COCOLERIA,571,3480757
RESTAURANTE CASA BEIJING,571,3482912
Universidad Santo Tomás,571,3484141
EL SALON PELUQUERIA Y ESTETICA,571,3490055
LIBRERIA LALO,571,3490458
HOF HOUSES FASHION,571,3491022
JOYAS ZAFIRO,571,3492583
PUNTO Y COMA CALIENTICO,571,3545608
SAN NICOLAS PARRILLA CAFE Y LICOR,571,3553919
PAPELERIA Y MISCELANEA ANNIE,571,3562019
MI PEQUEÑA BOUTIQUE,571,3594434
SURTIHUEVOS DEL SURORIENTE,571,3639477
CAFETERIA Y FRUTERIA LA ESPERANZA,571,3674882
CARLOS ALBERTO LOZANO CARO,571,3760921
AGRICOLAS VELA,571,3761904
CIGARRERIA MONTE VERDE,571,4020204
COMPRA VENTA JIREH,571,4146126
TECNICAS AMERICANAS DE ESTUDIO CHAPINERO,571,4282800
FLORISTERIA CARDENALI CELEBRACIONES Y EVENTOS,571,4283461
GRUPO DE ESTUDIOS CULTURALES TIERRA ADENTRO,571,4305998
CAFETERIA RESTAURANTE FINMILENIO,571,4310727
ASOCIACION JUVENIL DE ESTUDIOS PROMETEO,571,4331196
BAR - BURGUER PIZZA,571,4606969
DROMODROGAS PLUS,571,4691300
DOMINGUIN CAFE,571,4801280
PUNTO Y COMA 64,571,4803158
ZONA MARKET,571,4804274
MICHELL EDUARDO ASESORIA DE IMAGEN Y ESTETICA,571,4814992
MULTIELECTRICOS CHAPINERO,571,4904011
T M C CALLE 57,571,4929915
CIBG FRUTOS DE LA TIERRA,571,5106137
CIGARRERIA Y CAFETERIA LOS PINOS DE SANTA ROSA,571,5106141
MUNDO SEX - METRO SEX,571,5206997
VELASQUEZ SALAZAR JEIMMY PAOLA,571,5207639
CRUZ JOEL,571,5221359
ARIAS ALVARES VICTORIA,571,5222007
ROZO SANCHEZ MILTON,571,5223178
LEON ESCOBAR ANDRES FELIPE,571,5223217
FONGUA JONATHAN,571,5226064
CALZADO ERCCECY,571,5400352
FRUTERIA Y CAFETERIA MAX,571,5401712
BEAUTY SUPPLY COSMETICOS Y PELUCAS,571,5401847
BOUTIQUE JHOAN KATLHEN,571,5403645
RUTA COLOMBIAN COFFEE,571,5404046
B & G STETIC,571,5404243
DATA PRINT,571,5404343
CASA COMERCIAL CENTER`S,571,5404606
MASAJES SUSANA,571,5409935
PC SUMINISTROS ONLINE,571,5412935
ARTICULOS RELIGIOSOS JUAN PABLO II,571,5421085
MALETINES COLOMBIA,571,5422919
INVERDESA COMERCIAL CHAPINERO,571,5432111
CIGARRERIA LICORERA BARU,571,5435144
INSUMEQUI DISTRIBUCIONES,571,5437670
CALZADO MONPER,571,5437722
PAPELERIA WEB.CO,571,5438775
PAPELERIA Y COMUNICACIONES MADEMA,571,5439136
CAFETERIA PUNTO 57,571,5439562
COSMETICOS & PELUCAS,571,5440535
Centrolandia Norte,571,5445644
DUNAMIS NATURAL,571,5450361
CARULLA ALMACEN CALLE 63,571,5452122
TODO LANAS Y ALGO MAS,571,5453753
ALMACEN SMITH SHOES NUMERO DIEZ,571,5455458
E C E COMUNICACIONES E U,571,5455784
MARCIA AYALA,571,5458722
MERCADO INTERNACIONAL J.L.V.,571,5479858
ELECTRICOS Y MATERIALES DE LOS ANDES CHAPINERO,571,5480817
CASA COMERCIAL MUSIKALIA,571,5490510
PAPELERIA DANUBIO AZUL,571,5680521
TIENDA NUEVA BELEN DE LA 5,571,5684280
TIENDA DE BELLEZA Y VARIEDADES FASHION,571,5687686
NATURAL LIGHT EXITO CHAPINERO,571,5727601
CARULLA ALMACEN CALLE 47,571,5730338
LA CASA 53-76,571,5745444
DEPOSITO Y FERRETERIA R G,571,5874739
JULIAN MAURICIO AVELLA ACOSTA,571,5990210
KOALA DISTRIBUCIONES MC,571,6062119
CACHARRERIA REMTES EL MARINILLO,571,6062486
PILAS ILIMITADAS,571,6084783
D PELOS GRUPO CREATIVO,571,6099968
CORPOCHILE,571,6170352
Chico Centro,571,6224109
ANA MARÍARIVALDOJANETHRODRÍGUEZ,571,6320054
PALACIOS MEDINA DANNA VALENTINA,571,6320158
ZAMBRANO LOPEZ ALAN DAVID,571,6320241
MORENO JAIR SNEYDER,571,6320241
TOVAR CAMARGO INGRID VALENTINA,571,6320241
TONI MONTAÑA,571,6320367
INGRID DAYANA TRIANA USE CHE,571,6320764
INGRID DAYANA TRIANA USE CHE,571,6320764
INGRID DAYANA TRIANA USE CHE,571,6320764
RAMIREZ FLOREZ LAURA VALENTINA,571,6320826
GARZON FLORES NICOL,571,6320826
VELASQUEZ ANAYA CHAROL,571,6320953
NATALIA VELÁSQUEZSOFÍAVELÁSQUEZ,571,6320953
C K MALE BY KIKE GOMEZ,571,6401710
BAZAR DEL AMOR,571,6412680
MONTENEGRO PATIÑO DANA SHARICK,571,6485751
RIAÑO GARZON ANDREA ZULENY,571,6485751
RIAÑO GARZON ANDREA ZULENY,571,6485751
MORALES GONZALEZ CRISTIAN ALEJANDRO,571,6485957
CASA DE ACOGIDA AGUSTIN OTELO,571,6486103
GARCIA QUINTERO BRAYAN,571,6486119
BOLIVAR ROZO DAVID,571,6486620
HURTADO SARIN,571,6494860
CASTAÑEDA LEIDY,571,6494954
CALIFORNIA SEASONS DESIGN,571,6696177
CAFETERIA DONDE RUBY,571,6816216
JACANAS.COM,571,6916799
REDUS M.L.M,571,6972445
AZV ENCUADERNACION LTDA,571,7000805
CALZADO LUCIE,571,7029671
KINCOS COPY CENTER,571,7046243
JUST IN TIME F & L,571,7183205
LIVING SPORT STORE,571,7197594
ESPERANZA PARDO,571,7391032
INVERSIONES JNN1928,571,7505504
CAFETERIA Y FRUTERIA EL GUSTAZO,571,7513935
MUEBLES ANDREITA TERCERA,571,7607710
VANNITI K,571,7630688
LAS 3 PALMAS DE J A P,571,7690752
DENTAL MOLINOS,571,7696711
DENTAL MOLINOS,571,7696711
MERCADOS SUPER 7 NO 1,571,7714395
ESTACION DE SERVICIO DISTRACOM JAVERIANA,571,7747777
BRANKA INTERNATIONAL,571,8025097
LA BODEGA DEL USADO,571,8045729
CRIK CHAPINERO 59,571,8051143
CRIK CHAPINERO 64,571,8051157
LEVELMA ROSALES,571,8053790
CENTRO DE ESTETICA Y BELLEZA CHICK,571,8054318
ESTACION DE SERVICIO LOS PITS S A S,571,8128384
AZUCENA DUARTE,571,8608672
MARIA VICTORIA MARTINEZ,571,8608996
PAPIERS,571,8845045
DISTRIBUIDORA DE HUEVOS LLANO LARGO,571,8868699
DISTRIBUIDORA DE HUEVO LLANO LARGO NO 2,571,8868699
HERNANDEZ MICHEL,57,3102489815
MOLINA JACOBO DENNYO,57,3102723995
LÓPEZ CASTILLO,57,3107695533
RIVERA MAUREN NICOL,57,3108703051
RIOS VALERIA,57,3112038707
JONATHAN RIVALDO,57,3112879837
JONATHAN RIVALDO,57,3112879837
JONATHAN RIVALDO,57,3112879837
FARFAN BELTRAN ANDERSON ESNEIDER,57,3118781253
VALLEN PINEDA,57,3133397558
RODRIGUEZ ARISTIZABAL CATALINA,57,3142432081
MENDEZ JEISON,57,3143287097
QUINTERO LÓPEZ ANGIE,57,3143422498
VEGA HELEN ROCIO,57,3144568519
LINARES PAULA,57,3144916541
TORRES TORRES GINA,57,3145353868
CARMONA CRISTANCHO EDINSON,57,3145353868
TORRES TORRES GINA,57,3145353868
CARMONA CRISTANCHO EDINSON,57,3145353868
VERVEL IVAN ANDRES,57,3145401936
TABANO,57,3153303552
BENAVIDES MARTINEZ DUVAR ARLEY,57,3153848430
BENAVIDES MARTINEZ DUVAR ARLEY,57,3153848430
CASTAÑEDA VENEGAS CARLOS DAVID,57,3167060487
ORTIZ MORALES KAROL DANIELA,57,3167060487
HOLGIN MARTINEZ SAMUEL FELIPE,57,3185636743
HOLGIN MARTINEZ SAMUEL FELIPE,57,3185636743
YURANY VANESA TORRESFLOR,57,3202358264
CONTRERS BRANDON SNEIDER,57,3202844196
MUÑOS BERNAL DANIEL FELIPE,57,3208031239
HERRERA AGUDELO YULIETH ALEXANDRA,57,3212508421
PINZON SILVA DANIEL FELIPE,57,3212690318
PINZON ROSA,57,3212690318
PINZON SILVA DANIEL FELIPE,57,3212690318
CIFUENTES YURI ELIZABETH,57,3214129745
RODRIGUEZ TABARES JARYTH DAHIANA,57,3217847209
